hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
17, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
18, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
18, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
18, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
18, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
18, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
18, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
19, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
19, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
19, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
19, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
19, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
19, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
20, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
21, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
22, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
23, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
24, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
25, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
25, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
25, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
25, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
25, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
25, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
26, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
26, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
26, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
26, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
26, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
26, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
27, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
27, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
27, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
27, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
27, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
27, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
28, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
28, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
28, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
28, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
28, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
28, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
29, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
29, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
29, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
29, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
29, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
29, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
30, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
30, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
30, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
30, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
30, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
30, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
31, 0.00000, 0.991825, 179.999, 0.988221, -180, 0.998709, 179.999, 0, 0
31, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
31, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
31, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
31, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
31, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
32, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
32, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
32, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
32, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
32, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
32, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
33, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
33, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
33, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
33, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
33, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
33, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
34, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
34, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
34, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
34, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
34, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
34, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
35, 0.00000, 1.06875, 179.999, 1.17766, -180, 1.06567, 180, 0, 0
35, 600.00000, 1.18914, 179.999, 1.31516, -180, 1.18569, 180, 0, 0
35, 1200.00000, 1.1633, 180, 1.28731, -180, 1.15855, 180, 0, 0
35, 1800.00000, 1.0427, 180, 1.15435, -180, 1.03567, 179.999, 0, 0
35, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
35, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
36, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
36, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
36, 1200.00000, 0.950371, 179.996, 1.05674, 180, 0.943947, 180, 0, 0
36, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
36, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
36, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
37, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
37, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
37, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
37, 1800.00000, 0.845032, -179.997, 0.937, -179.998, 0.829272, 180, 0, 0
37, 2400.00000, 1.45179, 179.999, 1.61242, 180, 1.42714, -179.997, 0, 0
37, 3000.00000, 1.7272, -179.997, 1.91507, 180, 1.69738, 180, 0, 0
38, 0.00000, 1.56202, -179.998, 1.73176, -179.999, 1.53482, -179.999, 0, 0
38, 600.00000, 1.33231, -179.997, 1.47449, -179.998, 1.30613, 179.997, 0, 0
38, 1200.00000, 1.13731, 179.996, 1.26205, 180, 1.11614, -179.998, 0, 0
38, 1800.00000, 1.0694, -179.997, 1.18385, -179.998, 1.04669, 179.995, 0, 0
38, 2400.00000, 0.996412, -180, 1.09919, -180, 0.972733, 180, 0, 0
38, 3000.00000, 1.00588, -180, 1.11013, 180, 0.984663, -179.999, 0, 0
39, 0.00000, 1.92502, -179.999, 2.11557, 180, 1.88274, -180, 0, 0
39, 600.00000, 2.11392, -180, 2.31868, -180, 2.05954, 179.999, 0, 0
39, 1200.00000, 1.02721, -179.997, 1.12496, -179.999, 0.998838, 179.998, 0, 0
39, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
39, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
39, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
40, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
40, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
40, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
40, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
40, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
40, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
41, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
41, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
41, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
41, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
41, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
41, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
42, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
42, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
42, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
42, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
42, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
42, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
43, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
43, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
43, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
43, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
43, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
43, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
44, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
44, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
44, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
44, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
44, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
44, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
45, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
45, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
45, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
45, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
45, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
45, 3000.00000, 0, 0, 0, 0, 0, 0, 0, 0
46, 0.00000, 0, 0, 0, 0, 0, 0, 0, 0
46, 600.00000, 0, 0, 0, 0, 0, 0, 0, 0
46, 1200.00000, 0, 0, 0, 0, 0, 0, 0, 0
46, 1800.00000, 0, 0, 0, 0, 0, 0, 0, 0
46, 2400.00000, 0, 0, 0, 0, 0, 0, 0, 0
